frame_number,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,face_confidence,region,raw_output,source
0,happy,0.0008699204563628037,3.064280401101961e-08,0.0001080995681008183,98.76071207289172,0.0016274602845962702,0.11100643976071117,1.1256771833108177,0.91,"{'x': 680, 'y': 171, 'w': 572, 'h': 572, 'left_eye': (1070, 406), 'right_eye': (858, 408)}","{'angry': 0.0008699204563628037, 'disgust': 3.064280401101961e-08, 'fear': 0.0001080995681008183, 'happy': 98.76071207289172, 'sad': 0.0016274602845962702, 'surprise': 0.11100643976071117, 'neutral': 1.1256771833108177}",Entrepreneur
1,happy,0.003361403287271969,6.461629009635317e-08,0.0016823831174406223,99.64755177497864,0.0071580594521947205,0.25909985415637493,0.0811468402389437,0.9,"{'x': 703, 'y': 144, 'w': 562, 'h': 562, 'left_eye': (1086, 376), 'right_eye': (877, 383)}","{'angry': 0.003361403287271969, 'disgust': 6.461629009635317e-08, 'fear': 0.0016823831174406223, 'happy': 99.64755177497864, 'sad': 0.0071580594521947205, 'surprise': 0.25909985415637493, 'neutral': 0.0811468402389437}",Entrepreneur
2,happy,0.0319340315530486,5.047265891959753e-08,0.0010414994571770722,99.74218610022234,0.22012118420050333,0.0012770406398119388,0.0034397496612156215,0.92,"{'x': 696, 'y': 112, 'w': 600, 'h': 600, 'left_eye': (1091, 363), 'right_eye': (885, 368)}","{'angry': 0.0319340315530486, 'disgust': 5.047265891959753e-08, 'fear': 0.0010414994571770722, 'happy': 99.74218610022234, 'sad': 0.22012118420050333, 'surprise': 0.0012770406398119388, 'neutral': 0.0034397496612156215}",Entrepreneur
3,sad,1.5583400125862568e-07,1.0207088064858284e-18,0.000891559921001317,7.991870511724064e-11,99.99879598617554,9.373362944313838e-14,0.000311891335513792,0.92,"{'x': 710, 'y': 92, 'w': 590, 'h': 590, 'left_eye': (1011, 564), 'right_eye': (899, 349)}","{'angry': 1.5583400125862568e-07, 'disgust': 1.0207088064858284e-18, 'fear': 0.000891559921001317, 'happy': 7.991870511724064e-11, 'sad': 99.99879598617554, 'surprise': 9.373362944313838e-14, 'neutral': 0.000311891335513792}",Entrepreneur
4,sad,0.6837875000432134,3.457910759164063e-09,19.360541625087453,0.22309057280010852,74.80994162678023,4.2156221320965633e-07,4.922643145637887,0.94,"{'x': 711, 'y': 83, 'w': 587, 'h': 587, 'left_eye': (1030, 422), 'right_eye': (1016, 538)}","{'angry': 0.6837875000432134, 'disgust': 3.457910759164063e-09, 'fear': 19.360541625087453, 'happy': 0.22309057280010852, 'sad': 74.80994162678023, 'surprise': 4.2156221320965633e-07, 'neutral': 4.922643145637887}",Entrepreneur
5,fear,0.3703611437231302,7.196533950357131e-11,95.87035179138184,2.048935909826355e-07,0.4769040737301111,3.398907040264021e-05,3.2823503017425537,0.94,"{'x': 704, 'y': 72, 'w': 607, 'h': 607, 'left_eye': (1003, 426), 'right_eye': (901, 333)}","{'angry': 0.3703611437231302, 'disgust': 7.196533950357131e-11, 'fear': 95.87035179138184, 'happy': 2.048935909826355e-07, 'sad': 0.4769040737301111, 'surprise': 3.398907040264021e-05, 'neutral': 3.2823503017425537}",Entrepreneur
6,fear,1.375844795256853,2.6128343932896314e-07,84.808748960495,6.709669264637341e-06,5.042885988950729,8.379366818189737e-05,8.772425353527069,0.95,"{'x': 711, 'y': 80, 'w': 586, 'h': 586, 'left_eye': (1007, 417), 'right_eye': (899, 329)}","{'angry': 1.375844795256853, 'disgust': 2.6128343932896314e-07, 'fear': 84.808748960495, 'happy': 6.709669264637341e-06, 'sad': 5.042885988950729, 'surprise': 8.379366818189737e-05, 'neutral': 8.772425353527069}",Entrepreneur
7,fear,0.03752821783664461,0.0006938622928410783,79.37101967680219,0.07225134479983511,20.34167404870104,0.0007175898244386795,0.1761107379177823,0.94,"{'x': 712, 'y': 73, 'w': 590, 'h': 590, 'left_eye': (1039, 405), 'right_eye': (900, 326)}","{'angry': 0.03752821783664461, 'disgust': 0.0006938622928410783, 'fear': 79.37101967680219, 'happy': 0.07225134479983511, 'sad': 20.34167404870104, 'surprise': 0.0007175898244386795, 'neutral': 0.1761107379177823}",Entrepreneur
8,fear,2.069227583706379,2.3651817453212076e-14,65.34687280654907,0.46549360267817974,32.11840093135834,8.430461325781638e-13,4.175873535849917e-09,0.94,"{'x': 717, 'y': 80, 'w': 577, 'h': 577, 'left_eye': (1014, 413), 'right_eye': (1018, 530)}","{'angry': 2.069227583706379, 'disgust': 2.3651817453212076e-14, 'fear': 65.34687280654907, 'happy': 0.46549360267817974, 'sad': 32.11840093135834, 'surprise': 8.430461325781638e-13, 'neutral': 4.175873535849917e-09}",Entrepreneur
9,sad,2.390495675932948e-09,1.748116661983284e-21,5.0680159444937216e-05,2.493582029042866e-12,99.99986886979713,3.809797306189167e-14,7.293122888837202e-05,0.92,"{'x': 711, 'y': 76, 'w': 590, 'h': 590, 'left_eye': (1015, 541), 'right_eye': (903, 325)}","{'angry': 2.390495675932948e-09, 'disgust': 1.748116661983284e-21, 'fear': 5.0680159444937216e-05, 'happy': 2.493582029042866e-12, 'sad': 99.99986886979713, 'surprise': 3.809797306189167e-14, 'neutral': 7.293122888837202e-05}",Entrepreneur
10,fear,0.1015213262265221,7.137861691040617e-11,67.13657779315578,2.3064739050092373e-06,4.814221624387599,4.2209657309515115e-05,27.947642084815627,0.93,"{'x': 715, 'y': 77, 'w': 595, 'h': 595, 'left_eye': (1014, 424), 'right_eye': (903, 329)}","{'angry': 0.1015213262265221, 'disgust': 7.137861691040617e-11, 'fear': 67.13657779315578, 'happy': 2.3064739050092373e-06, 'sad': 4.814221624387599, 'surprise': 4.2209657309515115e-05, 'neutral': 27.947642084815627}",Entrepreneur
11,neutral,0.0006733616828569211,2.0868071134457155e-17,2.5455160066485405,6.151768677797875e-09,5.769869685173035,1.6326229257401792e-06,91.68393611907959,0.93,"{'x': 725, 'y': 94, 'w': 568, 'h': 568, 'left_eye': (1008, 435), 'right_eye': (905, 334)}","{'angry': 0.0006733616828569211, 'disgust': 2.0868071134457155e-17, 'fear': 2.5455160066485405, 'happy': 6.151768677797875e-09, 'sad': 5.769869685173035, 'surprise': 1.6326229257401792e-06, 'neutral': 91.68393611907959}",Entrepreneur
12,neutral,5.924314550043164e-06,3.3719020045668994e-19,4.935178160667419,6.99704405526802e-08,1.4487690292298794,5.202433150941488e-07,93.61604452133179,0.93,"{'x': 730, 'y': 113, 'w': 564, 'h': 564, 'left_eye': (1009, 457), 'right_eye': (904, 351)}","{'angry': 5.924314550043164e-06, 'disgust': 3.3719020045668994e-19, 'fear': 4.935178160667419, 'happy': 6.99704405526802e-08, 'sad': 1.4487690292298794, 'surprise': 5.202433150941488e-07, 'neutral': 93.61604452133179}",Entrepreneur
13,neutral,4.0661467248792604e-09,2.1520973519902315e-23,7.424294948577881,2.857140088963206e-05,2.3107247670850484e-06,0.00018247100115331705,92.5754964351654,0.9,"{'x': 720, 'y': 128, 'w': 582, 'h': 582, 'left_eye': (1104, 364), 'right_eye': (1011, 485)}","{'angry': 4.0661467248792604e-09, 'disgust': 2.1520973519902315e-23, 'fear': 7.424294948577881, 'happy': 2.857140088963206e-05, 'sad': 2.3107247670850484e-06, 'surprise': 0.00018247100115331705, 'neutral': 92.5754964351654}",Entrepreneur
14,sad,1.9847868770739296e-05,7.281705182751541e-18,0.941875297576189,4.646394727303438e-09,93.68763566017151,9.144846338515755e-10,5.3704675287008286,0.89,"{'x': 723, 'y': 145, 'w': 570, 'h': 570, 'left_eye': (1007, 502), 'right_eye': (905, 380)}","{'angry': 1.9847868770739296e-05, 'disgust': 7.281705182751541e-18, 'fear': 0.941875297576189, 'happy': 4.646394727303438e-09, 'sad': 93.68763566017151, 'surprise': 9.144846338515755e-10, 'neutral': 5.3704675287008286}",Entrepreneur
