frame_number,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,face_confidence,region,raw_output,source
7876,sad,24.586668610572815,0.011149093916174024,3.6909975111484528,0.4533942323178053,56.546956300735474,0.12287030695006251,14.587968587875366,0.92,"{'x': 587, 'y': 197, 'w': 653, 'h': 653, 'left_eye': (1028, 447), 'right_eye': (793, 456)}","{'angry': 24.586668610572815, 'disgust': 0.011149093916174024, 'fear': 3.6909975111484528, 'happy': 0.4533942323178053, 'sad': 56.546956300735474, 'surprise': 0.12287030695006251, 'neutral': 14.587968587875366}",Investor 2
7877,neutral,13.364087045192719,0.0055413089285138994,3.4441281110048294,2.909664250910282,29.260370135307312,0.3098785178735852,50.70633292198181,0.91,"{'x': 587, 'y': 194, 'w': 659, 'h': 659, 'left_eye': (1030, 449), 'right_eye': (795, 459)}","{'angry': 13.364087045192719, 'disgust': 0.0055413089285138994, 'fear': 3.4441281110048294, 'happy': 2.909664250910282, 'sad': 29.260370135307312, 'surprise': 0.3098785178735852, 'neutral': 50.70633292198181}",Investor 2
7878,no dominant emotion detected,21.33181349418324,0.003671755331437739,3.4738075403937745,0.8807821317949452,46.923473110613,0.08985593356337351,27.296600019526483,0.92,"{'x': 588, 'y': 195, 'w': 653, 'h': 653, 'left_eye': (1028, 447), 'right_eye': (794, 457)}","{'angry': 21.33181349418324, 'disgust': 0.003671755331437739, 'fear': 3.4738075403937745, 'happy': 0.8807821317949452, 'sad': 46.923473110613, 'surprise': 0.08985593356337351, 'neutral': 27.296600019526483}",Investor 2
7879,no dominant emotion detected,23.256906867027283,0.004701460784417577,3.6464642733335495,0.9551194496452808,47.14077711105347,0.11582239530980587,24.880212545394897,0.92,"{'x': 587, 'y': 195, 'w': 654, 'h': 654, 'left_eye': (1032, 449), 'right_eye': (791, 458)}","{'angry': 23.256906867027283, 'disgust': 0.004701460784417577, 'fear': 3.6464642733335495, 'happy': 0.9551194496452808, 'sad': 47.14077711105347, 'surprise': 0.11582239530980587, 'neutral': 24.880212545394897}",Investor 2
7880,no dominant emotion detected,22.447167336940765,0.006269638834055513,3.824002668261528,0.6542176008224487,44.897520542144775,0.10036096209660172,28.070467710494995,0.91,"{'x': 588, 'y': 196, 'w': 653, 'h': 653, 'left_eye': (1034, 448), 'right_eye': (795, 458)}","{'angry': 22.447167336940765, 'disgust': 0.006269638834055513, 'fear': 3.824002668261528, 'happy': 0.6542176008224487, 'sad': 44.897520542144775, 'surprise': 0.10036096209660172, 'neutral': 28.070467710494995}",Investor 2
7881,sad,23.565509915351868,0.007517300400650129,4.3455906212329865,0.4888520576059818,52.44675278663635,0.12809402542188764,19.01768296957016,0.92,"{'x': 585, 'y': 195, 'w': 656, 'h': 656, 'left_eye': (1029, 449), 'right_eye': (793, 458)}","{'angry': 23.565509915351868, 'disgust': 0.007517300400650129, 'fear': 4.3455906212329865, 'happy': 0.4888520576059818, 'sad': 52.44675278663635, 'surprise': 0.12809402542188764, 'neutral': 19.01768296957016}",Investor 2
7882,sad,25.903397798538208,0.006892810051795095,4.8976026475429535,0.2628165064379573,59.30137038230896,0.09397583198733628,9.533941000699997,0.92,"{'x': 585, 'y': 195, 'w': 654, 'h': 654, 'left_eye': (1033, 447), 'right_eye': (794, 457)}","{'angry': 25.903397798538208, 'disgust': 0.006892810051795095, 'fear': 4.8976026475429535, 'happy': 0.2628165064379573, 'sad': 59.30137038230896, 'surprise': 0.09397583198733628, 'neutral': 9.533941000699997}",Investor 2
7883,sad,29.854780435562134,0.007664824079256505,4.111776500940323,0.5999105516821146,50.457972288131714,0.18067003693431616,14.787226915359497,0.91,"{'x': 583, 'y': 194, 'w': 657, 'h': 657, 'left_eye': (1030, 448), 'right_eye': (792, 458)}","{'angry': 29.854780435562134, 'disgust': 0.007664824079256505, 'fear': 4.111776500940323, 'happy': 0.5999105516821146, 'sad': 50.457972288131714, 'surprise': 0.18067003693431616, 'neutral': 14.787226915359497}",Investor 2
7884,sad,27.0014226436615,0.005787792179035023,4.00104857981205,0.7123140152543783,53.49751114845276,0.1220633159391582,14.659851789474487,0.93,"{'x': 586, 'y': 195, 'w': 653, 'h': 653, 'left_eye': (1030, 448), 'right_eye': (795, 457)}","{'angry': 27.0014226436615, 'disgust': 0.005787792179035023, 'fear': 4.00104857981205, 'happy': 0.7123140152543783, 'sad': 53.49751114845276, 'surprise': 0.1220633159391582, 'neutral': 14.659851789474487}",Investor 2
7885,no dominant emotion detected,4.907757416367531,0.011505541624501348,0.5253077950328588,48.04849028587341,13.408887386322021,0.13334308750927448,32.964709401130676,0.92,"{'x': 589, 'y': 196, 'w': 647, 'h': 647, 'left_eye': (1028, 447), 'right_eye': (793, 457)}","{'angry': 4.907757416367531, 'disgust': 0.011505541624501348, 'fear': 0.5253077950328588, 'happy': 48.04849028587341, 'sad': 13.408887386322021, 'surprise': 0.13334308750927448, 'neutral': 32.964709401130676}",Investor 2
