frame_number,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,face_confidence,region,raw_output,source
4328,no dominant emotion detected,45.90905010700226,1.8286030739545822,11.673060804605484,0.05445044953376055,39.80380892753601,0.39145518094301224,0.33957359846681356,0.92,"{'x': 660, 'y': 213, 'w': 582, 'h': 582, 'left_eye': None, 'right_eye': None}","{'angry': 45.90905010700226, 'disgust': 1.8286030739545822, 'fear': 11.673060804605484, 'happy': 0.05445044953376055, 'sad': 39.80380892753601, 'surprise': 0.39145518094301224, 'neutral': 0.33957359846681356}",Investor 1
4329,angry,59.50486546696836,2.632520220277283,5.222341540772732,0.06504982400091601,31.71859601514387,0.047614710782949834,0.8090062965147142,0.91,"{'x': 671, 'y': 215, 'w': 576, 'h': 576, 'left_eye': None, 'right_eye': None}","{'angry': 59.50486546696836, 'disgust': 2.632520220277283, 'fear': 5.222341540772732, 'happy': 0.06504982400091601, 'sad': 31.71859601514387, 'surprise': 0.047614710782949834, 'neutral': 0.8090062965147142}",Investor 1
4330,angry,75.10727643966675,1.292465254664421,3.427916020154953,0.06198702030815184,19.08385455608368,0.05233984556980431,0.9741636924445629,0.91,"{'x': 675, 'y': 219, 'w': 570, 'h': 570, 'left_eye': None, 'right_eye': None}","{'angry': 75.10727643966675, 'disgust': 1.292465254664421, 'fear': 3.427916020154953, 'happy': 0.06198702030815184, 'sad': 19.08385455608368, 'surprise': 0.05233984556980431, 'neutral': 0.9741636924445629}",Investor 1
4331,angry,64.0485687197961,3.195879227414223,5.00723659905951,0.07741783870432213,24.80285468067471,0.05417168076711228,2.8138641638917727,0.92,"{'x': 675, 'y': 225, 'w': 566, 'h': 566, 'left_eye': None, 'right_eye': None}","{'angry': 64.0485687197961, 'disgust': 3.195879227414223, 'fear': 5.00723659905951, 'happy': 0.07741783870432213, 'sad': 24.80285468067471, 'surprise': 0.05417168076711228, 'neutral': 2.8138641638917727}",Investor 1
4332,angry,74.88243283242788,2.454320607564377,4.217732194932437,0.0544381146616501,17.54113524661836,0.04786613001314491,0.8020660815160178,0.93,"{'x': 670, 'y': 225, 'w': 581, 'h': 581, 'left_eye': None, 'right_eye': None}","{'angry': 74.88243283242788, 'disgust': 2.454320607564377, 'fear': 4.217732194932437, 'happy': 0.0544381146616501, 'sad': 17.54113524661836, 'surprise': 0.04786613001314491, 'neutral': 0.8020660815160178}",Investor 1
4333,angry,53.450021353365265,2.400537164541314,6.018679575245355,0.09564133348972102,36.12959302244145,0.08916499158978412,1.8163691426139559,0.92,"{'x': 666, 'y': 226, 'w': 592, 'h': 592, 'left_eye': None, 'right_eye': None}","{'angry': 53.450021353365265, 'disgust': 2.400537164541314, 'fear': 6.018679575245355, 'happy': 0.09564133348972102, 'sad': 36.12959302244145, 'surprise': 0.08916499158978412, 'neutral': 1.8163691426139559}",Investor 1
4334,angry,52.45554447174072,7.780563086271286,9.08961147069931,0.017587211914360523,27.416551113128662,0.8808836340904236,2.3592550307512283,0.92,"{'x': 667, 'y': 239, 'w': 586, 'h': 586, 'left_eye': (1069, 455), 'right_eye': (845, 480)}","{'angry': 52.45554447174072, 'disgust': 7.780563086271286, 'fear': 9.08961147069931, 'happy': 0.017587211914360523, 'sad': 27.416551113128662, 'surprise': 0.8808836340904236, 'neutral': 2.3592550307512283}",Investor 1
4335,angry,60.03350377282523,8.304067451004235,13.166544626149214,0.005624747035311358,16.384708367866775,0.9489076777641581,1.1566458959368406,0.93,"{'x': 663, 'y': 240, 'w': 601, 'h': 601, 'left_eye': (1071, 459), 'right_eye': (851, 487)}","{'angry': 60.03350377282523, 'disgust': 8.304067451004235, 'fear': 13.166544626149214, 'happy': 0.005624747035311358, 'sad': 16.384708367866775, 'surprise': 0.9489076777641581, 'neutral': 1.1566458959368406}",Investor 1
4336,angry,72.81224131584167,3.8157518953084946,6.459112465381622,0.00677492207614705,12.340504676103592,2.5639859959483147,2.0016349852085114,0.94,"{'x': 677, 'y': 244, 'w': 587, 'h': 587, 'left_eye': (1075, 465), 'right_eye': (846, 488)}","{'angry': 72.81224131584167, 'disgust': 3.8157518953084946, 'fear': 6.459112465381622, 'happy': 0.00677492207614705, 'sad': 12.340504676103592, 'surprise': 2.5639859959483147, 'neutral': 2.0016349852085114}",Investor 1
4337,angry,76.63136999233127,9.487268687812247,3.9269140896899595,0.0031985949870011227,8.254240959377174,0.5712965753618985,1.1256994268954483,0.95,"{'x': 687, 'y': 271, 'w': 568, 'h': 568, 'left_eye': (1079, 473), 'right_eye': (849, 498)}","{'angry': 76.63136999233127, 'disgust': 9.487268687812247, 'fear': 3.9269140896899595, 'happy': 0.0031985949870011227, 'sad': 8.254240959377174, 'surprise': 0.5712965753618985, 'neutral': 1.1256994268954483}",Investor 1
4338,angry,76.36465289382058,2.6594070440177346,5.981110765404151,0.0018720688992179089,12.670468549160274,0.5813634369589947,1.741126097209817,0.92,"{'x': 682, 'y': 274, 'w': 584, 'h': 584, 'left_eye': (1080, 484), 'right_eye': (850, 507)}","{'angry': 76.36465289382058, 'disgust': 2.6594070440177346, 'fear': 5.981110765404151, 'happy': 0.0018720688992179089, 'sad': 12.670468549160274, 'surprise': 0.5813634369589947, 'neutral': 1.741126097209817}",Investor 1
4339,angry,69.01384365393595,2.763036122854218,4.601036953802472,0.005064746925339469,20.46093249786705,0.09920517895532502,3.0568724579367093,0.94,"{'x': 689, 'y': 284, 'w': 570, 'h': 570, 'left_eye': (1080, 488), 'right_eye': (849, 513)}","{'angry': 69.01384365393595, 'disgust': 2.763036122854218, 'fear': 4.601036953802472, 'happy': 0.005064746925339469, 'sad': 20.46093249786705, 'surprise': 0.09920517895532502, 'neutral': 3.0568724579367093}",Investor 1
4340,angry,79.80826141735776,2.896764901666057,4.667670840898652,0.002323075473677683,11.493744821102045,0.20932091698695218,0.9219109844373483,0.94,"{'x': 689, 'y': 290, 'w': 578, 'h': 578, 'left_eye': (1084, 500), 'right_eye': (852, 523)}","{'angry': 79.80826141735776, 'disgust': 2.896764901666057, 'fear': 4.667670840898652, 'happy': 0.002323075473677683, 'sad': 11.493744821102045, 'surprise': 0.20932091698695218, 'neutral': 0.9219109844373483}",Investor 1
4341,angry,71.01878523826599,1.3616177253425121,8.859219402074814,0.0012554532986541744,16.911545395851135,0.049803341971710324,1.7977699637413025,0.95,"{'x': 677, 'y': 303, 'w': 596, 'h': 596, 'left_eye': (1087, 511), 'right_eye': (851, 535)}","{'angry': 71.01878523826599, 'disgust': 1.3616177253425121, 'fear': 8.859219402074814, 'happy': 0.0012554532986541744, 'sad': 16.911545395851135, 'surprise': 0.049803341971710324, 'neutral': 1.7977699637413025}",Investor 1
